Expected Information,Response,Comments,,,,,,,,,,,,,,,,,,,,,,,
Confirm which resource types are needed: blog articles / reflections / audio / worksheets / guides / videos / newsletters.,"Blog articles, reflections, worksheets",,,,,,,,,,,,,,,,,,,,,,,,
"Proposed categories or topics
","For therapists
For clients",These two sections further get broken down into multiple themes,,,,,,,,,,,,,,,,,,,,,,,
Author names and short author bios:,Reetika Shah,"Reetika is a counsellor and co-founder of Ankahee, with 1,400+ hours of clinical experience. Her work is rooted in Internal Family Systems, integrated with DBT, ACT, and attachment theory, in a trauma-informed, parts-based approach.",,,,,,,,,,,,,,,,,,,,,,,
,Manvi Jain,"Manvi is a Counselling Psychologist and co-founder of Ankahee, with 1,500+ hours of clinical experience. Her work is rooted in Cognitive Analytic Therapy, Emotionally Focused Individual Therapy, (attachment theory) and DBT and integrates a relational and trauma-informed lens.",,,,,,,,,,,,,,,,,,,,,,,
"Provide 3–5 launch-ready resources or approve placeholder content until content is ready.
Drive link / response:
",,,,,,,,,,,,,,,,,,,,,,,,,
"For every downloadable resource, provide title, description, file, author, publication permission, and disclaimer.",,,,,,,,,,,,,,,,,,,,,,,,,
"Newsletter platform and signup consent copy:
",,,,,,,,,,,,,,,,,,,,,,,,,
