Expected Information,Response,Links (if required),,,,,,,,,,,,,,,,,,,,,,,
"Final logo files: coloured logo, icon-only version, transparent PNG, and SVG/vector if available.
",Logo,,,,,,,,,,,,,,,,,,,,,,,,
"Confirm the approved brand colours or list any requested changes:
","#df8572
#e9a94c
#9890ba
#769397
#a1ac98",,,,,,,,,,,,,,,,,,,,,,,,
"Preferred fonts, brand guidelines, or an existing style reference:
",Uploaded in the folder,,,,,,,,,,,,,,,,,,,,,,,,
Confirm permission to use the supplied five-petal logo and blob characters throughout the website:,Yes,,,,,,,,,,,,,,,,,,,,,,,,
"Upload original photographs, illustrations, textures, and any existing brand artwork.
",Uploaded in the folder,,,,,,,,,,,,,,,,,,,,,,,,
"Image restrictions: colours, symbols, subjects, cultural cues, or photography styles that must be avoided:","No realistic pictures. Looking for more water-color, animated style website",,,,,,,,,,,,,,,,,,,,,,,,
